5	5.64595
5	6.64595
-1	6.64595
-1	7.14595
9	7.14595
9	7.20213
-1	7.20213
-1	7.70214
5	7.70214
5	8.53476
-1	8.53476
-1	9.03476
2	9.03476
2	10.0348
-1	10.0348
-1	10.5348
1	10.5348
1	11.5348
-1	11.5348
-1	12.0348
3	12.0348
3	12.9232
-1	12.9232
-1	13.4232
10	13.4232
10	14.4232
-1	14.4232
-1	14.9232
2	14.9232
2	15.8063
-1	15.8063
-1	16.3063
7	16.3063
7	17.3063
-1	17.3063
-1	17.8063
1	17.8063
1	18.8063
-1	18.8063
-1	19.3063
4	19.3063
4	20.3063
-1	20.3063
-1	20.8063
6	20.8063
6	21.8063
-1	21.8063
-1	22.3063
8	22.3063
8	23.3063
-1	23.3063
-1	23.8063
10	23.8063
10	24.8063
-1	24.8063
-1	25.3063
7	25.3063
7	26.3063
-1	26.3063
-1	26.8063
1	26.8063
1	27.8063
-1	27.8063
-1	28.3063
4	28.3063
4	29.3063
-1	29.3063
-1	29.8063
6	29.8063
6	30.8063
-1	30.8063
-1	31.3063
8	31.3063
8	32.3063
-1	32.3063
-1	32.8063
10	32.8063
10	33.8063
-1	33.8063
-1	34.3063
7	34.3063
7	35.3063
-1	35.3063
-1	35.8063
1	35.8063
1	36.8063
-1	36.8063
-1	37.3063
4	37.3063
4	38.3063
-1	38.3063
-1	38.8063
6	38.8063
6	39.8063
-1	39.8063
-1	40.3063
8	40.3063
8	41.3063
-1	41.3063
-1	41.8063
10	41.8063
10	42.8063
-1	42.8063
-1	43.3063
7	43.3063
7	44.3063
-1	44.3063
-1	44.8063
1	44.8063
1	45.0849
-1	45.0849
-1	45.5849
4	45.5849
4	46.0611
-1	46.0611
-1	46.5611
6	46.5611
6	46.5801
-1	46.5801
-1	47.0801
8	47.0801
8	48.0801
-1	48.0801
-1	48.5801
10	48.5801
10	49.5801
-1	49.5801
-1	50.0801
7	50.0801
7	51.0801
-1	51.0801
-1	51.5801
8	51.5801
8	52.5801
-1	52.5801
-1	53.0801
10	53.0801
10	54.0801
-1	54.0801
-1	54.5801
7	54.5801
7	54.6264
-1	54.6264
-1	55.1264
8	55.1264
8	56.1264
-1	56.1264
-1	56.6264
10	56.6264
10	57.2458
-1	57.2458
-1	57.7458
8	57.7458
8	58.1525
-1	58.1525
-1	58.6525
